url,name,position,college,height,weight,Year,BAMScore,Year2,BAMScore2
https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,Solomon Alabi,Center,Florida State,7-1,251lb,2010,1718,,
https://www.sports-reference.com/cbb/players/tiny-gallon-1.html,Tiny Gallon,Forward,Oklahoma,6-9,300lb,2010,1751,,
https://www.sports-reference.com/cbb/players/dedric-lawson-1.html,Dedric Lawson,Forward,Memphis and Kansas,6-9,235lb,2016,1799,,
https://www.sports-reference.com/cbb/players/caleb-swanigan-1.html,Caleb Swanigan,Forward,Purdue,6-9,260lb,2016,1864,,
https://www.sports-reference.com/cbb/players/jared-sullinger-1.html,Jared Sullinger,Forward,Ohio State,6-9,265lb,2012,1867,,
https://www.sports-reference.com/cbb/players/derrick-caracter-1.html,Derrick Caracter,Forward,Louisville and UTEP,6-9,275lb,2010,1876,,
https://www.sports-reference.com/cbb/players/nikola-vucevic-1.html,Nikola Vucevic,Forward,USC,6-10,220lb,2011,1881,,
https://www.sports-reference.com/cbb/players/alan-williams-2.html,Alan Williams,Center,UCSB,6-8,265lb,2015,1883,,
https://www.sports-reference.com/cbb/players/henry-sims-1.html,Henry Sims,Center,Georgetown,6-10,245lb,2012,1891,,
https://www.sports-reference.com/cbb/players/kennedy-meeks-1.html,Kennedy Meeks,Forward,UNC,6-9,290lb,2017,1893,,
https://www.sports-reference.com/cbb/players/omer-yurtseven-1.html,Omer Yurtseven,Center,NC State and Georgetown,7-0,264lb,2017,1894,,
https://www.sports-reference.com/cbb/players/austin-daye-1.html,Austin Daye,Forward,Gonzaga,6-11,200lb,2009,1898,,
https://www.sports-reference.com/cbb/players/jordan-williams-1.html,Jordan Williams,Forward,Maryland,6-10,260lb,2011,1901,,
https://www.sports-reference.com/cbb/players/robert-carter-1.html,Robert Carter,Forward,Georgia Tech and Maryland,6-9,240lb,2016,1912,,
https://www.sports-reference.com/cbb/players/laquinton-ross-1.html,LaQuinton Ross,Forward,Ohio State,6-8,220lb,2014,1917,,
https://www.sports-reference.com/cbb/players/jeff-withey-1.html,Jeff Withey,Center,Kansas,7-0,235lb,2013,1920,,
https://www.sports-reference.com/cbb/players/deshaun-thomas-1.html,Deshaun Thomas,Forward,Ohio State,6-7,215lb,2013,1921,,
https://www.sports-reference.com/cbb/players/jordan-crawford-1.html,Jordan Crawford,Guard,Indiana and Xavier,6-4,195lb,2010,1921,,
https://www.sports-reference.com/cbb/players/artsiom-parakhouski-1.html,Artsiom Parakhouski,Center,Radford,6-11,260lb,2010,1924,,
https://www.sports-reference.com/cbb/players/demarcus-cousins-1.html,DeMarcus Cousins,Forward,Kentucky,6-11,270lb,2010,1928,,
https://www.sports-reference.com/cbb/players/ike-anigbogu-1.html,Ike Anigbogu,Forward,UCLA,6-10,250lb,2017,1928,,
https://www.sports-reference.com/cbb/players/daniel-hamilton-1.html,Daniel Hamilton,Guard,UConn,6-7,190lb,2016,1929,,
https://www.sports-reference.com/cbb/players/jamie-skeen-1.html,Jamie Skeen,Forward,Wake Forest and VCU,6-9,240lb,2011,1934,,
https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,Cole Aldrich,Center,Kansas,6-11,245lb,2010,1939,,
https://www.sports-reference.com/cbb/players/luke-harangody-1.html,Luke Harangody,Forward,Notre Dame,6-8,246lb,2010,1940,,
https://www.sports-reference.com/cbb/players/udoka-azubuike-1.html,Udoka Azubuike,Center,Kansas,7-0,270lb,2018,1940,,
https://www.sports-reference.com/cbb/players/daniel-orton-1.html,Daniel Orton,Forward,Kentucky,6-11,255lb,2010,1941,,
https://www.sports-reference.com/cbb/players/justin-patton-1.html,Justin Patton,Center,Creighton,6-11,215lb,2017,1944,,
https://www.sports-reference.com/cbb/players/larry-sanders-1.html,Larry Sanders,Forward,VCU,6-10,235lb,2010,1946,,
https://www.sports-reference.com/cbb/players/dakari-johnson-1.html,Dakari Johnson,Center,Kentucky,7-0,255lb,2015,1949,,
https://www.sports-reference.com/cbb/players/moritz-wagner-1.html,Moritz Wagner,Forward,Michigan,6-10,210lb,2017,1953,2018,2109
https://www.sports-reference.com/cbb/players/sviatoslav-mykhailiuk-1.html,Sviatoslav Mykhailiuk,Guard,Kansas,6-8,195lb,2017,1953,2018,2153
https://www.sports-reference.com/cbb/players/greg-monroe-1.html,Greg Monroe,Center,Georgetown,6-11,247lb,2010,1954,,
https://www.sports-reference.com/cbb/players/diamond-stone-1.html,Diamond Stone,Center,Maryland,6-11,255lb,2016,1955,,
https://www.sports-reference.com/cbb/players/andrew-nicholson-1.html,Andrew Nicholson,Forward,St. Bonaventure,6-9,240lb,2012,1957,,
https://www.sports-reference.com/cbb/players/jordan-adams-1.html,Jordan Adams,Guard,UCLA,6-5,220lb,2014,1958,,
https://www.sports-reference.com/cbb/players/jcovan-brown-1.html,J'Covan Brown,Guard,Texas,6-1,197lb,2012,1960,,
https://www.sports-reference.com/cbb/players/dewayne-dedmon-1.html,Dewayne Dedmon,Forward,USC,7-0,255lb,2013,1961,,
https://www.sports-reference.com/cbb/players/quinn-cook-1.html,Quinn Cook,Guard,Duke,6-2,185lb,2015,1961,,
https://www.sports-reference.com/cbb/players/fab-melo-1.html,Fab Melo,Center,Syracuse,7-0,244lb,2012,1962,,
https://www.sports-reference.com/cbb/players/chinanu-onuaku-1.html,Chinanu Onuaku,Forward,Louisville,6-10,230lb,2016,1967,,
https://www.sports-reference.com/cbb/players/jordan-hamilton-2.html,Jordan Hamilton,Guard,Texas,6-7,220lb,2011,1967,,
https://www.sports-reference.com/cbb/players/tobias-harris-1.html,Tobias Harris,Forward,Tennessee,6-8,226lb,2011,1968,,
https://www.sports-reference.com/cbb/players/bobby-portis-1.html,Bobby Portis,Forward,Arkansas,6-11,242lb,2015,1972,,
https://www.sports-reference.com/cbb/players/trey-thompkins-1.html,Trey Thompkins,Forward,Georgia,6-10,245lb,2011,1972,,
https://www.sports-reference.com/cbb/players/stephen-zimmermanjr-1.html,Stephen Zimmerman Jr.,Forward,UNLV,7-0,240lb,2016,1975,,
https://www.sports-reference.com/cbb/players/alize-johnson-1.html,Alize Johnson,Forward,Missouri State,6-9,201lb,2018,1978,,
https://www.sports-reference.com/cbb/players/erik-murphy-1.html,Erik Murphy,Forward,Florida,6-10,238lb,2013,1978,,
https://www.sports-reference.com/cbb/players/austin-wiley-1.html,Austin Wiley,Center,Auburn,6-11,260lb,2018,1980,,
https://www.sports-reference.com/cbb/players/devin-ebanks-1.html,Devin Ebanks,Forward,West Virginia,6-9,215lb,2010,1980,,
https://www.sports-reference.com/cbb/players/kevin-jones-5.html,Kevin Jones,Forward,West Virginia,6-8,260lb,2012,1980,,
https://www.sports-reference.com/cbb/players/tony-bradley-1.html,Tony Bradley,Forward,UNC,6-10,240lb,2017,1981,,
https://www.sports-reference.com/cbb/players/branden-dawson-1.html,Branden Dawson,Forward,Michigan State,6-6,225lb,2015,1982,,
https://www.sports-reference.com/cbb/players/ivan-rabb-1.html,Ivan Rabb,Forward,California,6-11,220lb,2017,1982,,
https://www.sports-reference.com/cbb/players/andy-rautins-1.html,Andy Rautins,Guard,Syracuse,6-5,195lb,2010,1986,,
https://www.sports-reference.com/cbb/players/greivis-vasquez-1.html,Greivis Vasquez,Guard,Maryland,6-6,200lb,2010,1986,,
https://www.sports-reference.com/cbb/players/terrence-jones-1.html,Terrence Jones,Forward,Kentucky,6-9,252lb,2012,1986,,
https://www.sports-reference.com/cbb/players/hassan-whiteside-1.html,Hassan Whiteside,Center,Marshall,7-0,235lb,2010,1988,,
https://www.sports-reference.com/cbb/players/georges-niang-1.html,Georges Niang,Forward,Iowa State,6-8,230lb,2016,1993,,
https://www.sports-reference.com/cbb/players/markieff-morris-1.html,Markieff Morris,Center,Kansas,6-10,245lb,2011,1993,,
https://www.sports-reference.com/cbb/players/tashawn-thomas-1.html,TaShawn Thomas,Forward,Houston and Oklahoma,6-8,240lb,2015,1994,,
https://www.sports-reference.com/cbb/players/alex-kirk-2.html,Alex Kirk,Center,New Mexico,7-0,245lb,2014,1996,,
https://www.sports-reference.com/cbb/players/greg-smith-3.html,Greg Smith,Center,Fresno State,6-10,250lb,2011,1996,,
https://www.sports-reference.com/cbb/players/tony-carr-1.html,Tony Carr,Guard,Penn State,6-5,204lb,2018,1996,,
https://www.sports-reference.com/cbb/players/willie-warren-1.html,Willie Warren,Guard,Oklahoma,6-4,199lb,2010,1996,,
https://www.sports-reference.com/cbb/players/taj-gibson-1.html,Taj Gibson,Forward,USC,6-9,225lb,2009,1999,,
https://www.sports-reference.com/cbb/players/bernard-james--1.html,Bernard James,Forward,Florida State,6-10,240lb,2012,2000,,
https://www.sports-reference.com/cbb/players/jamel-artis-1.html,Jamel Artis,Forward,Pitt,6-7,220lb,2017,2000,,
